batsman,batsman_hand,batsman_style,batsman_form,bowler,bowler_type,bowler_form,venue,weather,inning,overs,wickets,runs_needed,balls_remaining,current_run_rate,required_run_rate,ball_age,ball_type,bowling_speed_kph,bowling_path_type,pitch_line,pitch_length,batsman_reaction,shot_contact,runs_scored,is_wicket,win_probability_after
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Sunny,2,4.2,2,154,94,10.48,9.83,4.2,Pink Ball,124.7,Cutter,On the Off Stump,Full,Drive,Missed,0,0,0.8724259328676355
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Humid,1,11.6,5,0,48,8.71,0.0,11.6,White Kookaburra,72.7,Cutter,Middle Stump,Full,Glance,Weak,2,0,0.17162913523755688
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,3.3,1,171,99,6.97,10.36,3.3,SG Test,152.1,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.8973125457602927
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Sunny,1,10.6,6,0,54,8.4,0.0,10.6,SG Test,144.5,In-swinger,Outside Off,Good Length,Defensive,Solid,1,0,0.15709546888545275
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Overcast,1,16.4,9,0,20,8.35,0.0,16.4,White Kookaburra,81.6,Googly,Middle Stump,Good Length,Defensive,Weak,0,1,0.15
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Overcast,1,11.2,7,0,52,6.96,0.0,11.2,Pink Ball,95.8,Googly,Middle Stump,Good Length,Sweep,Weak,0,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,M. A. Chidambaram Stadium (Chennai),Overcast,1,16.3,8,0,21,6.69,0.0,16.3,White Kookaburra,147.0,Bouncer,Middle Stump,Short,Lofted Shot,Weak,0,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Humid,2,7.6,4,118,72,6.32,9.83,7.6,Pink Ball,99.4,Googly,Middle Stump,Short,Ramp/Scoop,Weak,1,0,0.7575761866902734
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),1,19.2,9,0,4,7.24,0.0,19.2,SG Test,78.5,Leg-break,Outside Off,Good Length,Defensive,Weak,0,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,7.5,3,0,73,8.93,0.0,7.5,Pink Ball,91.5,Normal,Outside Off,Full,Lofted Shot,Solid,1,0,0.21680642210037387
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Overcast,2,2.4,3,134,104,8.75,7.73,2.4,Pink Ball,86.8,Googly,Outside Off,Good Length,Defensive,Solid,4,0,0.9128956347158186
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,M. Chinnaswamy Stadium (Bengaluru),Sunny,2,16.5,9,49,19,7.88,15.47,16.5,Pink Ball,93.6,Googly,Outside Off,Good Length,Slog,Weak,1,0,0.04742587317756678
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Overcast,1,2.3,1,0,105,7.39,0.0,2.3,SG Test,100.8,Googly,Middle Stump,Good Length,Slog,Weak,1,0,0.2582102509614289
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Night (Dew),1,2.4,1,0,104,7.92,0.0,2.4,White Kookaburra,100.7,Leg-break,On the Off Stump,Full,Lofted Shot,Weak,0,0,0.30427977780865484
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,M. A. Chidambaram Stadium (Chennai),Humid,2,7.6,3,92,72,9.34,7.67,7.6,Pink Ball,141.4,In-swinger,Outside Off,Good Length,Defensive,Weak,1,0,0.9095745085333012
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Overcast,1,11.1,5,0,53,8.11,0.0,11.1,White Kookaburra,150.7,Bouncer,Leg Stump,Short,Defensive,Weak,0,0,0.15
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Humid,2,4.2,3,154,94,8.81,9.83,4.2,SG Test,70.8,Cutter,Leg Stump,Full,Defensive,Weak,1,0,0.8242137727507595
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Night (Dew),2,8.6,6,97,66,7.09,8.82,8.6,SG Test,119.1,Cutter,Outside Off,Good Length,Drive,Missed,0,0,0.6695507441012162
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,3.4,2,133,98,8.82,8.14,3.4,White Kookaburra,134.0,Cutter,On the Off Stump,Good Length,Drive,Edge,0,0,0.9269407273007171
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Sunny,1,8.4,4,0,68,10.12,0.0,8.4,White Kookaburra,79.6,Normal,On the Off Stump,Good Length,Defensive,Weak,2,0,0.36046803189276766
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Overcast,2,8.6,4,102,66,6.05,9.27,8.6,SG Test,80.2,Leg-break,Outside Off,Good Length,Defensive,Weak,1,0,0.7919834871724403
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Overcast,1,11.5,5,0,49,7.65,0.0,11.5,White Kookaburra,73.6,Cutter,Outside Off,Good Length,Defensive,Missed,0,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Humid,1,18.5,9,0,7,9.24,0.0,18.5,SG Test,73.0,Cutter,Middle Stump,Good Length,Defensive,Weak,1,0,0.15
